2020-03-13 17:06:56.021 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-03-13 17:06:56.091 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-03-13 17:06:56.092 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 910 ms
2020-03-13 17:06:56.284 [restartedMain] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-13 17:06:56.426 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-03-13 17:06:56.449 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-03-13 17:06:56.482 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-03-13 17:06:56.486 [restartedMain] INFO  com.penghk.fund.roboadvisor.RoboadvisorApplication - Started RoboadvisorApplication in 21.769 seconds (JVM running for 27.646)
2020-03-13 17:15:03.129 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-03-13 17:29:56.528 [restartedMain] INFO  com.penghk.fund.roboadvisor.RoboadvisorApplication - Starting RoboadvisorApplication on penghangkongdeMacBook-Pro.local with PID 61654 (/Users/xmly/workspace/fund/roboadvisor/target/classes started by xmly in /Users/xmly/workspace/fund/roboadvisor)
2020-03-13 17:29:56.532 [restartedMain] INFO  com.penghk.fund.roboadvisor.RoboadvisorApplication - No active profile set, falling back to default profiles: default
2020-03-13 17:29:56.588 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-03-13 17:29:56.588 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-03-13 17:29:57.722 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-03-13 17:29:57.732 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-03-13 17:29:57.733 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-03-13 17:29:57.733 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-03-13 17:29:57.842 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
